Runde;ID Proband;Ebene ;Treppe;Zeit in sec;Bemerkung
;;;;;
1;1;x;;20.00;
1;2;x;;18.30;
1;3;x;;12.38;
1;4;x;;18.80;
1;5;x;;16.24;
1;6;x;;16.43;
1;7;x;;19.50;
1;8;x;;16.10;
1;9;x;;18.00;
1;10;x;;17.13;
1;11;x;;18.92;
1;12;x;;17.84;
1;13;x;;16.81;
;;;;;
2;1;x;;20.31;
2;2;x;;18.40;
2;3;x;;13.05;
2;4;x;;19.40;
2;5;x;;17.27;
2;6;x;;17.09;
2;7;x;;19.60;
2;8;x;;16.50;
2;9;x;;19.28;
2;10;x;;16.44;
2;11;x;;19.13;
2;12;x;;18.31;
2;13;x;;16.34;
;;;;;
3;1;x;;20.91;
3;2;x;;20.30;
3;3;x;;12.13;
3;4;x;;19.30;
3;5;x;;16.10;
3;6;x;;16.41;
3;7;x;;19.60;
3;8;x;;16.70;
3;9;x;;18.64;
3;10;x;;16.53;
3;11;x;;17.81;
3;12;x;;17.72;
3;13;x;;16.40;
;;;;;
1;1;;auf;12.34;
1;2;;auf;12.10;
1;3;;auf;3.44;"gerannt; Stufen übersprungen"
1;4;;auf;12.30;
1;5;;auf;11.94;
1;6;;auf;11.50;
1;7;;auf;13.20;
1;8;;auf;11.30;
1;9;;auf;12.58;
1;10;;auf;12.38;
1;11;;auf;13.32;
1;12;;auf;11.59;
1;13;;auf;11.87;
;;;;;
2;1;;auf;12.19;
2;2;;auf;12.90;
2;3;;auf;3.59;"gerannt; Stufen übersprungen"
2;4;;auf;12.90;
2;5;;auf;11.82;
2;6;;auf;11.47;
2;7;;auf;13.00;
2;8;;auf;10.90;
2;9;;auf;13.00;
2;10;;auf;12.47;
2;11;;auf;13.28;
2;12;;auf;12.53;
2;13;;auf;12.10;
;;;;;
3;1;;auf;12.18;
3;2;;auf;12.20;
3;3;;auf;4.12;"gerannt; Stufen übersprungen"
3;4;;auf;13.20;
3;5;;auf;13.74;
3;6;;auf;11.66;
3;7;;auf;12.90;
3;8;;auf;11.10;
3;9;;auf;13.06;
3;10;;auf;12.78;
3;11;;auf;13.44;
3;12;;auf;11.09;
3;13;;auf;12.25;
;;;;;
1;1;;ab;10.38;
1;2;;ab;10.40;
1;3;;ab;4.50;"gerannt; Stufen übersprungen"
1;4;;ab;11.80;
1;5;;ab;11.37;
1;6;;ab;10.44;
1;7;;ab;10.50;
1;8;;ab;10.50;
1;9;;ab;11.87;
1;10;;ab;12.34;
1;11;;ab;10.79;
1;12;;ab;9.78;
1;13;;ab;10.18;
;;;;;
2;1;;ab;10.12;
2;2;;ab;10.60;
2;3;;ab;5.06;"gerannt; Stufen übersprungen"
2;4;;ab;11.90;
2;5;;ab;11.11;
2;6;;ab;10.32;
2;7;;ab;10.70;
2;8;;ab;10.50;
2;9;;ab;12.43;
2;10;;ab;13.10;
2;11;;ab;10.97;
2;12;;ab;9.63;
2;13;;ab;10.50;
;;;;;
3;1;;ab;10.09;
3;2;;ab;10.90;
3;3;;ab;4.19;"gerannt; Stufen übersprungen"
3;4;;ab;12.00;
3;5;;ab;10.55;
3;6;;ab;9.97;
3;7;;ab;10.50;
3;8;;ab;10.60;
3;9;;ab;11.87;
3;10;;ab;11.94;
3;11;;ab;10.23;
3;12;;ab;9.60;
3;13;;ab;10.72;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
