Runde;ID Proband;Zeit in sec;Bemerkung
1;1;10.38;
1;2;10.40;
1;3;4.50;"gerannt; Stufen übersprungen"
1;4;11.80;
1;5;11.37;
1;6;10.44;
1;7;10.50;
1;8;10.50;
1;9;11.87;
1;10;12.34;
1;11;10.79;
1;12;9.78;
1;13;10.18;
2;1;10.12;
2;2;10.60;
2;3;5.06;"gerannt; Stufen übersprungen"
2;4;11.90;
2;5;11.11;
2;6;10.32;
2;7;10.70;
2;8;10.50;
2;9;12.43;
2;10;13.10;
2;11;10.97;
2;12;9.63;
2;13;10.50;
3;1;10.09;
3;2;10.90;
3;3;4.19;"gerannt; Stufen übersprungen"
3;4;12.00;
3;5;10.55;
3;6;9.97;
3;7;10.50;
3;8;10.60;
3;9;11.87;
3;10;11.94;
3;11;10.23;
3;12;9.60;
3;13;10.72;
