Runde;ID Proband;Zeit in sec;Bemerkung
1;1;12.34;
1;2;12.10;
1;3;3.44;"gerannt; Stufen übersprungen"
1;4;12.30;
1;5;11.94;
1;6;11.50;
1;7;13.20;
1;8;11.30;
1;9;12.58;
1;10;12.38;
1;11;13.32;
1;12;11.59;
1;13;11.87;
2;1;12.19;
2;2;12.90;
2;3;3.59;"gerannt; Stufen übersprungen"
2;4;12.90;
2;5;11.82;
2;6;11.47;
2;7;13.00;
2;8;10.90;
2;9;13.00;
2;10;12.47;
2;11;13.28;
2;12;12.53;
2;13;12.10;
3;1;12.18;
3;2;12.20;
3;3;4.12;"gerannt; Stufen übersprungen"
3;4;13.20;
3;5;13.74;
3;6;11.66;
3;7;12.90;
3;8;11.10;
3;9;13.06;
3;10;12.78;
3;11;13.44;
3;12;11.09;
3;13;12.25;
