Runde;ID_Proband;Zeit;Bemerkung
1;1;17,65;
1;2;17,37;
1;3;17,88;
1;4;15,81;
1;5;15,97;
1;6;18,84;
1;7;22,85;getrödelt
1;8;17,47;
1;9;18,76;
1;10;22,08;
1;11;18,25;
1;12;17,50;
1;13;21,25;
1;14;16,32;
1;15;18,24;
1;16;19,71;
1;17;19,82;
1;18;16,25;
1;19;19,81;
1;20;18,96;
1;21;17,00;
1;22;19,00;
2;1;17,53;
2;2;16,34;
2;3;16,90;
2;4;15,62;
2;5;16,15;
2;6;19,00;
2;7;22,97;getrödelt
2;8;18,29;
2;9;21,13;
2;10;22,45;
2;11;18,66;
2;12;18,34;
2;13;20,32;
2;14;16,66;
2;15;18,59;
2;16;20,03;
2;17;19,56;
2;18;16,69;
2;19;18,91;
2;20;19,59;
2;21;16,97;
2;22;18,72;
3;1;17,00;
3;2;16,72;
3;3;17,09;
3;4;16,62;
3;5;16,94;
3;6;18,47;
3;7;23,82;getrödelt
3;8;18,95;
3;9;19,65;
3;10;22,50;
3;11;19,85;
3;12;18,13;
3;13;19,31;
3;14;17,41;
3;15;19,54;
3;16;20,18;
3;17;18,71;
3;18;16,94;
3;19;18,25;
3;20;20,00;
3;21;16,37;
3;22;20,09;
