Runde;ID_Proband;Zeit;Bemerkung
1;1;6.84;
1;2;7.37;
1;3;6.22;
1;4;9.66;
1;5;6.78;
1;6;6.82;
1;7;8.81;
1;8;9.81;
1;9;9.23;
1;10;11.25;
1;11;8.57;
1;12;9.97;
1;13;8.28;
1;14;6.78;
1;15;7.28;
1;16;8.47;
1;17;7.87;
1;18;8.60;
1;19;8.00;
1;20;10.14;
1;21;8.47;
1;22;10.00;
2;1;6.87;
2;2;7.37;
2;3;7.03;
2;4;8.65;
2;5;7.22;
2;6;6.90;
2;7;7.63;
2;8;10.42;
2;9;9.10;
2;10;11.65;
2;11;8.81;
2;12;9.94;
2;13;6.25;Spät gestoppt
2;14;6.72;
2;15;7.38;
2;16;8.56;
2;17;7.59;
2;18;7.75;
2;19;8.03;
2;20;11.71;
2;21;8.75;
2;22;10.16;Zeit nicht resetet
3;1;7.03;
3;2;7.44;
3;3;6.78;
3;4;9.37;
3;5;7.09;
3;6;7.31;
3;7;7.93;
3;8;9.05;
3;9;9.52;
3;10;11.90;
3;11;8.22;
3;12;9.38;
3;13;7.75;
3;14;6.78;
3;15;7.16;
3;16;8.87;
3;17;7.82;
3;18;8.34;Letzte Stufe übersprungen
3;19;8.19;
3;20;11.25;Messfehler
3;21;7.41;
3;22;10.41;
