x,y
0,0
0,1
0,0
10.4531967393164944013506101327948272228240966796875,0
1286.3304867728720637387596070766448974609375,1
1286.3304867728720637387596070766448974609375,0
1563.1883586094844531544367782771587371826171875,0
2480.445219090198179401340894401073455810546875,1
2480.445219090198179401340894401073455810546875,0
2521.21736719827524808579255477525293827056884765625,1
2617.561143138303805244504474103450775146484375,1
2617.561143138303805244504474103450775146484375,0
2617.7080120572188519922907090631269966252148151397705078125,0
6140.46795339004913927283269003964960575103759765625,1
6140.46795339004913927283269003964960575103759765625,0
6175.46567175239341906944900983944535255432128906250,0
8361.72478103736941790202763513661921024322509765625,1
8361.72478103736941790202763513661921024322509765625,0
8597.35706626773990279843928874470293521881103515625,0
8627.45166318502246127764010452665388584136962890625,1
8627.45166318502246127764010452665388584136962890625,0
8672.91890117217948130701188347302377223968505859375,0
11655.10103531760118045212948345579206943511962890625,1
11655.10103531760118045212948345579206943511962890625,0
11711.45815072154568525775175658054649829864501953125,0
11863.19154306766674977779985056258738040924072265625,1
11863.19154306766674977779985056258738040924072265625,0
11915.01601033351779790336877340450882911682128906250,0
12576.25156611829206809716197312809526920318603515625,1
12576.25156611829206809716197312809526920318603515625,0
12758.85527680201341382826285553164780139923095703125,0
14458.13941335862032389059095294214785099029541015625,1
14458.13941335862032389059095294214785099029541015625,0
14533.78624218851704341659569763578474521636962890625,0
15181.41311284602327447146308259107172489166259765625,1
15181.41311284602327447146308259107172489166259765625,0
15198.271642438775590022714823135174810886383056640625,0
16301.34781708008265610487796948291361331939697265625,1
16301.34781708008265610487796948291361331939697265625,0
16383.14815650720536410744898603297770023345947265625,0
16901.81485106877014601423070416785776615142822265625,1
16901.81485106877014601423070416785776615142822265625,0
17058.86872252151562889821434509940445423126220703125,1
17076.42849226354153557849713251926004886627197265625,1
17076.42849226354153557849713251926004886627197265625,0
17092.80230169461492550908587872982025146484375000000,0
25304.19073373499060863878185045905411243438720703125,1
25304.19073373499060863878185045905411243438720703125,0
25354.08799446050677062203249079175293445587158203125,0
26798.71126184083420440629197400994598865509033203125,1
26798.71126184083420440629197400994598865509033203125,0
27013.63804457700340577730457880534231662750244140625,0
31027.91888905071261461898757261224091053009033203125,1
31027.91888905071261461898757261224091053009033203125,0
31153.23618275577916136853673378936946392059326171875,0
31581.66622151639200666295437258668243885040283203125,1
31581.66622151639200666295437258668243885040283203125,0
31653.54519885840526427500662975944578647613525390625,0
32244.61105731716560995891995844431221485137939453125,1
32244.61105731716560995891995844431221485137939453125,0
32295.32448328896330025372662930749356746673583984375,0
37044.99456475563619761715017375536262989044189453125,1
37044.99456475563619761715017375536262989044189453125,0
37393.72116934672653343341153231449425220489501953125,0
42326.76637406688423226341910776682198047637939453125,1
42326.76637406688423226341910776682198047637939453125,0
42474.49944599941989764602112700231373310089111328125,1
42641.72233499847931881276963395066559314727783203125,1
42641.72233499847931881276963395066559314727783203125,0
42845.75078943210917969963702489621937274932861328125,0
43029.51388107860044129893140052445232868194580078125,1
43029.51388107860044129893140052445232868194580078125,0
43039.8527791311134453877684791223146021366119384765625,1
43150.15006678763078440397293888963758945465087890625,1
43150.15006678763078440397293888963758945465087890625,0
43169.566991566417353709539383999072015285491943359375,0
46058.6118676738783026536339093581773340702056884765625,1
46058.6118676738783026536339093581773340702056884765625,0
46263.7165367800979627332935706363059580326080322265625,0
47735.5888572001123950627743397490121424198150634765625,1
47735.5888572001123950627743397490121424198150634765625,0
47751.8123197763853813313517093774862587451934814453125,0
50257.6786052549334247174783740774728357791900634765625,1
50257.6786052549334247174783740774728357791900634765625,0
50502.0290253116873575578438249067403376102447509765625,0
51714.1068211499913989115384538308717310428619384765625,1
51714.1068211499913989115384538308717310428619384765625,0
51811.0664615739058209697986967512406408786773681640625,0
52274.7632032363126857177348938421346247196197509765625,1
52274.7632032363126857177348938421346247196197509765625,0
52333.3007956902078436911551762023009359836578369140625,0
52707.4114223157216745363484733388759195804595947265625,1
52707.4114223157216745363484733388759195804595947265625,0
52829.8538537270902626374891042360104620456695556640625,0
56129.2548400851224048579979353235103189945220947265625,1
56129.2548400851224048579979353235103189945220947265625,0
56151.9657292243989541447035662713460624217987060546875,0
57157.7086512549651704517827965901233255863189697265625,1
57157.7086512549651704517827965901233255863189697265625,0
57202.4050232951082453070057454169727861881256103515625,0
58311.2233484393250453337032013223506510257720947265625,1
