id,resident,time
1,false,0
2,false,520.341640033739167847670614719390869140625
3,false,1346.1378434497968328287242911756038665771484375
4,false,3468.7907128916762076187296770513057708740234375
5,false,4475.1822975426649691144120879471302032470703125
6,false,4479.81422149301459256776070105843245983123779296875
7,false,8175.29563025094665107417313265614211559295654296875
8,false,9703.26816775811305859633648651652038097381591796875
9,false,13498.96611403966738151893878239206969738006591796875
10,false,16101.97442792153417912004442769102752208709716796875
11,false,17611.83155245067330696429053205065429210662841796875
12,false,19457.66836378802661755571534740738570690155029296875
13,false,19783.36040557591069699583385954611003398895263671875
14,false,20266.57473458880024708150813239626586437225341796875
15,false,20793.19152299905675107538627344183623790740966796875
16,false,20895.26752012852970352696502231992781162261962890625
17,false,21832.22952495572386766298222937621176242828369140625
18,false,22154.73808893293043098537964397110044956207275390625
19,true,22655.28655969695572736100075417198240756988525390625
20,false,22975.91172409700735812521088519133627414703369140625
21,false,24602.77997158674489952545627602376043796539306640625
22,false,26693.31251356272461094931713887490332126617431640625
23,false,28339.90203552912445417177877970971167087554931640625
24,false,28494.80859049022777895743274712003767490386962890625
25,true,28988.39861316072504138219301239587366580963134765625
26,false,30390.54329157735535460460596368648111820220947265625
27,false,31024.59667866906679734029239625670015811920166015625
28,false,31120.16278299219255387697558035142719745635986328125
29,false,31548.88583038139416458989217062480747699737548828125
30,false,32691.54674160807201843681468744762241840362548828125
31,true,33559.18409782869128576976436306722462177276611328125
32,false,34344.83990055853599443480561603792011737823486328125
33,false,36227.84201342646782251222248305566608905792236328125
34,false,36575.49086721081551587531066616065800189971923828125
35,true,37248.26806256866530731031161849386990070343017578125
36,false,37301.42963347947590335706991027109324932098388671875
37,false,37411.04551465152804468061731313355267047882080078125
38,false,37769.57681363237896476903188158757984638214111328125
39,false,38403.83055684377109884053425048477947711944580078125
40,false,40620.69054233787006324973845039494335651397705078125
41,false,42184.99275999734187081458003376610577106475830078125
42,false,42652.24317147371790071019859169609844684600830078125
43,false,42878.01421604503173767852786113508045673370361328125
44,false,43390.19619728597206886888670851476490497589111328125
45,false,46140.39653900770225192218276788480579853057861328125
46,false,46442.02845982962293902573946979828178882598876953125
47,false,46575.57265742380815964907014858908951282501220703125
48,false,46972.40717744200924954611764405854046344757080078125
49,false,47785.44461093353061897914813016541302204132080078125
50,false,48007.75692809804619543001535930670797824859619140625
51,false,48855.90830955594075390990838059224188327789306640625
52,true,49655.94584534771176009826376684941351413726806640625
53,false,53422.97767349443839890454910346306860446929931640625
54,true,54982.91865689086345270197853096760809421539306640625
55,false,55568.78190010031804746404304751195013523101806640625
56,false,56926.49102517445377458216171362437307834625244140625
57,false,57750.80638269199588563651559525169432163238525390625
58,false,58071.38230725100076057287878938950598239898681640625
59,false,58909.62850349551471396125634782947599887847900390625
60,false,59155.46122916500474531176223536022007465362548828125
61,false,59176.88597638120836563757620751857757568359375000000
62,false,59908.18667198396292405959684401750564575195312500000
63,true,60566.06380372409728352067759260535240173339843750000
64,false,60594.720357554962223645134145044721662998199462890625
65,false,60829.087789378230585413120934390462934970855712890625
66,false,62288.872477766621617689679624163545668125152587890625
67,false,63950.094678320841243390759700560010969638824462890625
68,false,64866.748146501499835636650459491647779941558837890625
69,false,64984.544815229792593669344569207169115543365478515625
70,false,65142.224164339324037342748852097429335117340087890625
71,false,65450.171690314419780776233892538584768772125244140625
72,true,68915.128658326248629606425311067141592502593994140625
73,false,69314.162598952606575863910620682872831821441650390625
74,false,70631.235233213698283094572616391815245151519775390625
75,true,70971.388489852740580232648426317609846591949462890625
76,false,71626.722526606817272210037117474712431430816650390625
77,false,71655.654791122762862443096310016699135303497314453125
78,false,72263.652691987852353605603639152832329273223876953125
79,false,72949.095842994873368780872624483890831470489501953125
80,false,73009.771304659644361123582712025381624698638916015625
81,false,73238.135961354273494094968555145896971225738525390625
82,false,74005.071186609290865732191377901472151279449462890625
83,false,74490.451642764839224497563918703235685825347900390625
84,false,74959.681277971281136984771364950574934482574462890625
85,false,76614.164736664675960042814040207304060459136962890625
86,false,77330.480906847272652981928331428207457065582275390625
87,false,77717.878628779733848119803951703943312168121337890625
88,false,79745.581083480771670934927897178567945957183837890625
89,false,80282.866483072653526420481284731067717075347900390625
90,false,81023.641157837039035172210788005031645298004150390625
91,false,82375.525790943978453384488602750934660434722900390625
92,false,83254.952526117945243555595880025066435337066650390625
93,false,83996.166216070171916641129428171552717685699462890625
94,true,85043.547302209466128175563426339067518711090087890625
95,false,85709.051390374029896435104092233814299106597900390625
96,false,88220.889670920337838566638311021961271762847900390625
97,false,90048.121838751022668390078251832164824008941650390625
