time,event,queueSize,systemSize,meanQueueSize,meanSystemSize,meanWaitingTime,meanCallingTime,meanSystemTime,LittlesLaw
0,arrive,0,0,0,0,0,0,0,0E-10
0,begin,1,1,0,0,0,0,0,0E-10
170.143704149412997139734216034412384033203125,finish,0,1,0E-10,1.0000000000,0E-10,0,170.1437041494,0.34028740829880000000
1684.401793295681500239879824221134185791015625,arrive,0,0,0E-10,0.1010113530,0E-10,170.1437041494,170.1437041494,0.34028740829880000000
1684.401793295681500239879824221134185791015625,begin,1,1,0E-10,0.1010113530,0E-10,170.1437041494,170.1437041494,0.34028740829880000000
1733.28697377833980652894751983694732189178466796875,finish,0,1,0E-10,0.1263661978,0E-10,170.1437041494,109.5144423160,0.21902888463200000000
1791.5104584353637591220831382088363170623779296875,arrive,0,0,0E-10,0.1222593391,0E-10,109.5144423160,109.5144423160,0.21902888463200000000
1791.5104584353637591220831382088363170623779296875,begin,1,1,0E-10,0.1222593391,0E-10,109.5144423160,109.5144423160,0.21902888463200000000
1840.4170686865619472882826812565326690673828125000,finish,0,1,0E-10,0.1455841176,0E-10,109.5144423160,89.3118316278,0.17862366325560000000
1865.3496660063432130982619128189980983734130859375,arrive,0,0,0E-10,0.1436382142,0E-10,89.3118316278,89.3118316278,0.17862366325560000000
1865.3496660063432130982619128189980983734130859375,begin,1,1,0E-10,0.1436382142,0E-10,89.3118316278,89.3118316278,0.17862366325560000000
2064.0722149390658870515835587866604328155517578125,finish,0,1,0E-10,0.2260861032,0E-10,89.3118316278,116.6645109540,0.23332902190800000000
2159.4548579269700070426551974378526210784912109375,arrive,0,0,0E-10,0.2160999301,0E-10,116.6645109540,116.6645109540,0.23332902190800000000
2159.4548579269700070426551974378526210784912109375,begin,1,1,0E-10,0.2160999301,0E-10,116.6645109540,116.6645109540,0.23332902190800000000
2373.7680962261155031001180759631097316741943359375,finish,0,1,0E-10,0.2868735506,0E-10,116.6645109540,136.1942564230,0.27238851284600000000
2799.8599341470290795541586703620851039886474609375,arrive,0,0,0E-10,0.2432161959,0E-10,136.1942564230,136.1942564230,0.27238851284600000000
2799.8599341470290795541586703620851039886474609375,begin,1,1,0E-10,0.2432161959,0E-10,136.1942564230,136.1942564230,0.27238851284600000000
2849.7447746954373712924279971048235893249511718750,finish,0,1,0E-10,0.2564637118,0E-10,136.1942564230,121.8093537773,0.24361870755460000000
3719.3482303150553747173034935258328914642333984375,arrive,0,0,0E-10,0.1965011280,0E-10,121.8093537773,121.8093537773,0.24361870755460000000
3719.3482303150553747173034935258328914642333984375,begin,1,1,0E-10,0.1965011280,0E-10,121.8093537773,121.8093537773,0.24361870755460000000
3871.8070573729284404862482915632426738739013671875,finish,0,1,0E-10,0.2281402293,0E-10,121.8093537773,126.1878499602,0.25237569992040000000
4091.7179518470241390559749561361968517303466796875,arrive,0,0,0E-10,0.2158787483,0E-10,126.1878499602,126.1878499602,0.25237569992040000000
4091.7179518470241390559749561361968517303466796875,begin,1,1,0E-10,0.2158787483,0E-10,126.1878499602,126.1878499602,0.25237569992040000000
4102.106703605328849704392268904484808444976806640625,arrive,0,1,0E-10,0.2178645672,0E-10,126.1878499602,111.7129626850,0.22342592537000000000
4106.7177427433957230817895833752118051052093505859375,finish,1,2,0.0011228040,0.2198655560,0.5123376820,126.1878499602,100.3250866395,0.19952736927900000000
4106.7177427433957230817895833752118051052093505859375,begin,1,1,0.0011228040,0.2198655560,0.5123376820,112.2893425772,100.3250866395,0.19952736927900000000
4210.8617388503438743185824932879768311977386474609375,finish,0,1,0.0010950346,0.2391600196,0.5123376820,112.2893425772,111.8966417625,0.22269824892500000000
4844.233702289572025989627945818938314914703369140625,arrive,0,0,0.0009518614,0.2078904194,0.5123376820,111.3843040805,111.8966417625,0.22284142212500000000
4844.233702289572025989627945818938314914703369140625,begin,1,1,0.0009518614,0.2078904194,0.5123376820,111.3843040805,111.8966417625,0.22284142212500000000
4922.578766368576783207799962838180363178253173828125,arrive,0,1,0.0009367121,0.2204972011,0.4611039138,111.3843040805,108.5414839942,0.21614625588840000000
4955.567925614226641783943705377168953418731689453125,finish,1,2,0.0075874650,0.2323433309,3.4181998531,111.3843040805,104.6721053121,0.20175674562420000000
4955.567925614226641783943705377168953418731689453125,begin,1,1,0.0075874650,0.2323433309,3.4181998531,111.3792960049,104.6721053121,0.20175674562420000000
4957.534548602151144081062739132903516292572021484375,arrive,0,1,0.0075844551,0.2326478555,3.4181998531,111.3792960049,104.8508892201,0.20211732334020000000
4958.011786675707112781452678973437286913394927978515625,finish,1,2,0.0076799810,0.2328179737,3.1731197048,111.3792960049,96.1928547973,0.18470572859460000000
4958.011786675707112781452678973437286913394927978515625,begin,1,1,0.0076799810,0.2328179737,3.1731197048,101.4760746464,96.1928547973,0.18470572859460000000
4972.515547585329105828577667125500738620758056640625,arrive,0,1,0.0076575802,0.2350556790,3.1731197048,101.4760746464,97.4015015398,0.18714542287960000000
5081.751441694794236614285409814328886568546295166015625,finish,1,2,0.0289886926,0.2729944238,11.3317946590,101.4760746464,106.7146005151,0.18444050843020000000
5081.751441694794236614285409814328886568546295166015625,begin,1,1,0.0289886926,0.2729944238,11.3317946590,103.3313730108,106.7146005151,0.18444050843020000000
5231.270116914480495129424753031344152987003326416015625,finish,0,1,0.0281601461,0.2937734905,11.3317946590,103.3313730108,118.2160370705,0.20827192804100000000
5354.505115260086771655778647982515394687652587890625,arrive,0,0,0.0275120347,0.2870122353,11.3317946590,106.8842424115,118.2160370705,0.20892003944100000000
5354.505115260086771655778647982515394687652587890625,begin,1,1,0.0275120347,0.2870122353,11.3317946590,106.8842424115,118.2160370705,0.20892003944100000000
5365.3000692782322378349135760799981653690338134765625,arrive,0,1,0.0274566806,0.2884467627,10.5223807548,106.8842424115,110.5431025668,0.19362952453360000000
5450.780594371967968214676147908903658390045166015625,finish,1,2,0.0427083519,0.3152877751,15.5195903774,106.8842424115,114.5709657415,0.18643357958300000000
5450.780594371967968214676147908903658390045166015625,begin,1,1,0.0427083519,0.3152877751,15.5195903774,106.1264736044,114.5709657415,0.18643357958300000000
5454.26691103890897327488573864684440195560455322265625,finish,0,1,0.0426810531,0.3157254368,15.5195903774,106.1264736044,114.8033868526,0.18692572060520000000
5898.5689879578034808815800715819932520389556884765625,arrive,0,0,0.0394661580,0.2919438268,15.5195903774,99.2837964752,114.8033868526,0.19014061570520000000
5898.5689879578034808815800715819932520389556884765625,begin,1,1,0.0394661580,0.2919438268,15.5195903774,99.2837964752,114.8033868526,0.19014061570520000000
6103.0830697429072788651183145702816545963287353515625,finish,0,1,0.0381436485,0.3156707622,14.5496159788,99.2837964752,120.4103052859,0.20267696207180000000
6282.3170457129718418087804820970632135868072509765625,arrive,0,0,0.0370554135,0.3066647020,14.5496159788,105.8606893071,120.4103052859,0.20376519707180000000
6282.3170457129718418087804820970632135868072509765625,begin,1,1,0.0370554135,0.3066647020,14.5496159788,105.8606893071,120.4103052859,0.20376519707180000000
6390.4549089933448389189152294420637190341949462890625,finish,0,1,0.0364283700,0.3183971684,13.6937562153,105.8606893071,119.6883969326,0.20294842386520000000
6430.1906382599675087163859643624164164066314697265625,arrive,0,0,0.0362032588,0.3164296150,13.6937562153,105.9946407173,119.6883969326,0.20317353506520000000
6430.1906382599675087163859643624164164066314697265625,begin,1,1,0.0362032588,0.3164296150,13.6937562153,105.9946407173,119.6883969326,0.20317353506520000000
