id,resident,time
1,false,170.143704149412997139734216034412384033203125
2,false,1733.28697377833980652894751983694732189178466796875
3,false,1840.4170686865619472882826812565326690673828125000
4,false,2064.0722149390658870515835587866604328155517578125
5,true,2373.7680962261155031001180759631097316741943359375
6,false,2849.7447746954373712924279971048235893249511718750
7,false,3871.8070573729284404862482915632426738739013671875
8,false,4106.7177427433957230817895833752118051052093505859375
9,false,4210.8617388503438743185824932879768311977386474609375
10,false,4955.567925614226641783943705377168953418731689453125
11,false,4958.011786675707112781452678973437286913394927978515625
12,false,5081.751441694794236614285409814328886568546295166015625
13,false,5231.270116914480495129424753031344152987003326416015625
14,false,5450.780594371967968214676147908903658390045166015625
15,false,5454.26691103890897327488573864684440195560455322265625
16,false,6103.0830697429072788651183145702816545963287353515625
17,false,6390.4549089933448389189152294420637190341949462890625
18,true,6479.4764805650884316179372035549022257328033447265625
19,true,7275.1766110808075982419040883542038500308990478515625
20,false,7960.7251821979084613900568001554347574710845947265625
21,false,8773.6948888490674303142213830142281949520111083984375
22,true,9377.4949486312080271233071471215225756168365478515625
23,false,9524.7287041174532919995954216574318706989288330078125
24,false,9641.2341974086776570374013317632488906383514404296875
25,false,11057.0928457711141152941536347498185932636260986328125
26,false,11645.1437708086261633155800154781900346279144287109375
27,true,12175.8693198074625865245934619451873004436492919921875
28,false,12344.0018851049228647553945847903378307819366455078125
29,false,12700.3896288637199258886312236427329480648040771484375
30,false,12870.5001884335730739650216492009349167346954345703125
31,false,13163.6238035048060641685196969774551689624786376953125
32,false,14449.0567458465071428719284085673280060291290283203125
33,false,15496.1092380763783484809437140938825905323028564453125
34,false,15947.6017242317982169907963907462544739246368408203125
35,false,15955.6106295026112320556421764194965362548828125000000
36,false,16222.5380595801339342898472750675864517688751220703125
37,false,16399.9021884218660023435631956090219318866729736328125
38,false,16617.2799124501403742470984070678241550922393798828125
39,true,17287.9888900748543978380666885641403496265411376953125
40,false,18189.0721198619305827293146649026311933994293212890625
41,true,18389.5865561684112083895570322056300938129425048828125
42,false,19164.7363851293297773992208021809346973896026611328125
43,false,19591.4465815712660532454947315272875130176544189453125
44,false,22253.4891580363994041391606515389867126941680908203125
45,true,22443.37321553412285712880702703841961920261383056640625
46,false,22497.5655785137183517718995062750764191150665283203125
47,false,23251.5722729097639831508104180102236568927764892578125
48,false,25286.6138795123172915424447637633420526981353759765625
49,false,25800.1428486389498762054728331349906511604785919189453125
50,false,26225.5994763458999248229019940481521189212799072265625
51,false,26246.5392096894783353633329170406796038150787353515625
52,true,26470.3008365470376848094247179687954485416412353515625
53,false,27059.6395826315270216610997522366233170032501220703125
54,false,27603.4093827200369997143525324645452201366424560546875
55,false,28238.2168414696296725452384634991176426410675048828125
56,false,28324.5506182345417176549062787671573460102081298828125
57,false,28357.1134397159451285830300548695959150791168212890625
58,false,28609.8203337040767291199472310836426913738250732421875
59,true,29283.4443820158624891547560764593072235584259033203125
60,false,29371.0933739143629299661597542581148445606231689453125
61,false,29680.8268825624651885419780228403396904468536376953125
62,false,30008.4703314876506698993807731312699615955352783203125
63,false,30012.7399216331248563705003107315860688686370849609375
64,false,30069.7411789183110908396656668628565967082977294921875
65,false,30198.93015781588616608388520035077817738056182861328125
66,false,30273.50100090572681654776943105389364063739776611328125
67,false,30475.42184459811699515086047540535219013690948486328125
68,false,30521.32166939894804347233048247289843857288360595703125
69,true,30623.31377379008621442135762436009827069938182830810546875
70,false,31433.11328947118168553043204838104429654777050018310546875
71,false,31582.34491171319106139758758899915846996009349822998046875
72,false,32479.19183844328757782005112630940857343375682830810546875
73,false,32619.87165984999044876513352164693060331046581268310546875
74,false,32925.45471674405518835992978665672126226127147674560546875
75,false,33808.06805164364061677684247797515126876533031463623046875
76,false,33984.74951769840087745233603300221147947013378143310546875
77,false,35167.11305507803441894321139216117444448173046112060546875
78,false,35476.18448094487233201999032417006674222648143768310546875
79,false,35781.78158644520303066638433620028081350028514862060546875
80,false,35913.71467047625881530148461706630769185721874237060546875
81,false,35948.17304557513567953019872902586939744651317596435546875
82,false,36444.86212074033534047412530298970523290336132049560546875
83,false,36560.80612002528871851136926807157578878104686737060546875
84,false,37420.47755523389090892560915335707250051200389862060546875
85,false,38686.02955993011005186854589510403457097709178924560546875
86,false,38748.33547740757033561731503823466482572257518768310546875
87,true,39000.84273352112471566766060959707829169929027557373046875
88,false,39150.76121035896800204323398020278546027839183807373046875
89,false,39166.49121072661216647059490014726179651916027069091796875
90,false,39473.98442701248862929386262976549915038049221038818359375
91,false,39852.73801741841694334933521304265013895928859710693359375
92,false,39968.61636644475774315932170566156855784356594085693359375
93,false,40136.34614219808480439777298443004838190972805023193359375
94,false,40215.97026229825057297428969604879966937005519866943359375
95,false,40250.15659863355578729215977773492340929806232452392578125
96,false,40334.17061085408703846599820508345146663486957550048828125
97,false,40623.88928392453849902654638981402968056499958038330078125
98,false,41122.12140494273907720401695087275584228336811065673828125
99,false,41502.62945766075649445259188041745801456272602081298828125
100,false,41927.71994433619738018581557525976677425205707550048828125
101,false,42901.91048446324450893474278245776076801121234893798828125
102,false,43798.43006532726784840736655723958392627537250518798828125
103,false,44717.55445479091808025362553280501742847263813018798828125
104,false,46349.33379409647536661953637349142809398472309112548828125
105,false,46884.43701166894551335406760017576743848621845245361328125
106,false,47264.93593724308960546398594715356011874973773956298828125
107,false,47460.02676919342733541373746675162692554295063018798828125
108,false,47883.03005079316839343039902132659335620701313018798828125
109,false,47947.38988168826903468744404790413682349026203155517578125
110,false,48092.73362144098104054013020913771470077335834503173828125
111,false,48298.83115844752077727708439169873599894344806671142578125
112,false,49279.93365131943954893234405290058930404484272003173828125
113,false,49514.33956448396219329755041371754487045109272003173828125
114,false,50032.54422438707864373430567184186656959354877471923828125
115,false,50048.56417510723548958129214270229567773640155792236328125
116,false,50177.03258459739178320990760084896464832127094268798828125
117,false,51820.09654263675388097265539499858277849853038787841796875
118,false,52149.41537723780566537801206550284405238926410675048828125
119,false,52637.66377650123452369701482211894472129642963409423828125
120,false,53263.68128938586998188942089882402797229588031768798828125
121,false,54225.81837324398029764882522840707679279148578643798828125
122,false,54534.35637105495401144583667019105632789433002471923828125
123,false,54694.76082698262029169189446520249475724995136260986328125
124,false,55469.20129053413496322821885087250848300755023956298828125
125,false,55579.81572740546709099351829763691057451069355010986328125
126,false,56024.11534239967793624703773502915282733738422393798828125
127,false,56842.29638349175139311331150793193955905735492706298828125
128,false,57389.20885156985233621629305389433284290134906768798828125
129,true,58289.00230887006058211330383755921502597630023956298828125
130,false,58651.02589740853616639970624646593932993710041046142578125
131,false,58879.98805517757905747533442308849771507084369659423828125
132,false,59808.30577585279196128897893913745065219700336456298828125
133,false,60143.79493713644643737570305574990925379097461700439453125
134,false,60262.64161544689615912506752692934242077171802520751953125
135,false,60718.51664311306398602585687740429420955479145050048828125
136,true,61010.53411026591822363673855988963623531162738800048828125
137,false,62129.46210426838474394362066277608391828835010528564453125
138,false,62260.02895702987228887526072185210068710148334503173828125
139,false,62942.20396256807514057118879691188340075314044952392578125
140,false,63258.68779713828453481472280373054672963917255401611328125
141,true,63762.42037999262141767520262192192603833973407745361328125
142,false,64635.68056218130274459543471721190144307911396026611328125
143,false,64714.09113132765520959299720971102942712604999542236328125
144,false,65608.09704896140125740533477483040769584476947784423828125
145,false,65949.75210164971397042155132339757983572781085968017578125
