time,size,room
0,1,1
0,0,1
170.143704149412997139734216034412384033203125,0,0
1684.401793295681500239879824221134185791015625,1,1
1684.401793295681500239879824221134185791015625,0,1
1733.28697377833980652894751983694732189178466796875,0,0
1791.5104584353637591220831382088363170623779296875,1,1
1791.5104584353637591220831382088363170623779296875,0,1
1840.4170686865619472882826812565326690673828125000,0,0
1865.3496660063432130982619128189980983734130859375,1,1
1865.3496660063432130982619128189980983734130859375,0,1
2064.0722149390658870515835587866604328155517578125,0,0
2159.4548579269700070426551974378526210784912109375,1,1
2159.4548579269700070426551974378526210784912109375,0,1
2373.7680962261155031001180759631097316741943359375,0,0
2799.8599341470290795541586703620851039886474609375,1,1
2799.8599341470290795541586703620851039886474609375,0,1
2849.7447746954373712924279971048235893249511718750,0,0
3719.3482303150553747173034935258328914642333984375,1,1
3719.3482303150553747173034935258328914642333984375,0,1
3871.8070573729284404862482915632426738739013671875,0,0
4091.7179518470241390559749561361968517303466796875,1,1
4091.7179518470241390559749561361968517303466796875,0,1
4102.106703605328849704392268904484808444976806640625,1,2
4106.7177427433957230817895833752118051052093505859375,1,1
4106.7177427433957230817895833752118051052093505859375,0,1
4210.8617388503438743185824932879768311977386474609375,0,0
4844.233702289572025989627945818938314914703369140625,1,1
4844.233702289572025989627945818938314914703369140625,0,1
4922.578766368576783207799962838180363178253173828125,1,2
4955.567925614226641783943705377168953418731689453125,1,1
4955.567925614226641783943705377168953418731689453125,0,1
4957.534548602151144081062739132903516292572021484375,1,2
4958.011786675707112781452678973437286913394927978515625,1,1
4958.011786675707112781452678973437286913394927978515625,0,1
4972.515547585329105828577667125500738620758056640625,1,2
5081.751441694794236614285409814328886568546295166015625,1,1
5081.751441694794236614285409814328886568546295166015625,0,1
5231.270116914480495129424753031344152987003326416015625,0,0
5354.505115260086771655778647982515394687652587890625,1,1
5354.505115260086771655778647982515394687652587890625,0,1
5365.3000692782322378349135760799981653690338134765625,1,2
5450.780594371967968214676147908903658390045166015625,1,1
5450.780594371967968214676147908903658390045166015625,0,1
5454.26691103890897327488573864684440195560455322265625,0,0
5898.5689879578034808815800715819932520389556884765625,1,1
5898.5689879578034808815800715819932520389556884765625,0,1
6103.0830697429072788651183145702816545963287353515625,0,0
6282.3170457129718418087804820970632135868072509765625,1,1
6282.3170457129718418087804820970632135868072509765625,0,1
6390.4549089933448389189152294420637190341949462890625,0,0
6430.1906382599675087163859643624164164066314697265625,1,1
6430.1906382599675087163859643624164164066314697265625,0,1
6479.4764805650884316179372035549022257328033447265625,0,0
7225.4848249185340680611489005968905985355377197265625,1,1
7225.4848249185340680611489005968905985355377197265625,0,1
7275.1766110808075982419040883542038500308990478515625,0,0
7812.1842758778995037260983735905028879642486572265625,1,1
7812.1842758778995037260983735905028879642486572265625,0,1
7960.7251821979084613900568001554347574710845947265625,0,0
8749.9550802058759106927254833863116800785064697265625,1,1
8749.9550802058759106927254833863116800785064697265625,0,1
8773.6948888490674303142213830142281949520111083984375,0,0
9290.2137077620872194216872230754233896732330322265625,1,1
9290.2137077620872194216872230754233896732330322265625,0,1
9377.4949486312080271233071471215225756168365478515625,0,0
9466.7481682825594848651462598354555666446685791015625,1,1
9466.7481682825594848651462598354555666446685791015625,0,1
9524.7287041174532919995954216574318706989288330078125,0,0
9615.2431018934877418047335595474578440189361572265625,1,1
9615.2431018934877418047335595474578440189361572265625,0,1
9641.2341974086776570374013317632488906383514404296875,0,0
10995.5821240315509701446217150078155100345611572265625,1,1
10995.5821240315509701446217150078155100345611572265625,0,1
11057.0928457711141152941536347498185932636260986328125,0,0
11614.3299895688087506329111420200206339359283447265625,1,1
11614.3299895688087506329111420200206339359283447265625,0,1
11645.1437708086261633155800154781900346279144287109375,0,0
12163.2144234176462394003692679689265787601470947265625,1,1
12163.2144234176462394003692679689265787601470947265625,0,1
12175.8693198074625865245934619451873004436492919921875,0,0
