x,y
0,0
0,1
0,0
65.1118928373083463156945072114467620849609375,0
5923.0882555436628535971976816654205322265625,1
5923.0882555436628535971976816654205322265625,0
6041.618190559240161974230431951582431793212890625,0
6550.762138449428903186344541609287261962890625,1
6550.762138449428903186344541609287261962890625,0
6906.60435243914645297991228289902210235595703125,0
8721.035190005607773855444975197315216064453125,1
8721.035190005607773855444975197315216064453125,0
8775.322134603715568346160580404102802276611328125,1
8775.322134603715568346160580404102802276611328125,0
8827.956163898837729675506125204265117645263671875,0
8892.817897751068272782504209317266941070556640625,0
9635.718855296091447826256626285612583160400390625,1
9635.718855296091447826256626285612583160400390625,0
9731.261994061968863434231025166809558868408203125,0
9767.152759928820586310393991880118846893310546875,1
9767.152759928820586310393991880118846893310546875,0
9800.24121171753512982149914023466408252716064453125,0
9970.075358411837015637502190656960010528564453125,1
9970.075358411837015637502190656960010528564453125,0
10024.71591683893110058534148265607655048370361328125,0
10554.023430035250981973149464465677738189697265625,1
10554.023430035250981973149464465677738189697265625,0
10563.6238169893167739843420349643565714359283447265625,0
10691.331722313975376437156228348612785339355468750,1
10691.331722313975376437156228348612785339355468750,0
10720.07506051513099265548589755780994892120361328125,0
11798.782762287498769637750228866934776306152343750,1
11798.782762287498769637750228866934776306152343750,0
11818.955985553054983228093988145701587200164794921875,0
12401.021273037460048271896084770560264587402343750,1
12401.021273037460048271896084770560264587402343750,0
12478.307559825158733701755409128963947296142578125,0
14892.143469851187489894073223695158958435058593750,1
14892.143469851187489894073223695158958435058593750,0
14962.301007382170183745984104461967945098876953125,0
16216.227311840858135383314220234751701354980468750,1
16216.227311840858135383314220234751701354980468750,0
16327.0031828635168977825742331333458423614501953125,0
17200.883308839451672156428685411810874938964843750,1
17200.883308839451672156428685411810874938964843750,0
17316.313375249682906087400624528527259826660156250,0
18145.133620531378767282149055972695350646972656250,1
18145.133620531378767282149055972695350646972656250,0
18166.330980108127619132574182003736495971679687500,0
19572.641061079740723016584524884819984436035156250,1
19572.641061079740723016584524884819984436035156250,0
19612.863202664687122478426317684352397918701171875,0
22444.955395348367403585143620148301124572753906250,1
22444.955395348367403585143620148301124572753906250,0
22506.7298085034917534130727290175855159759521484375,0
24996.304742143349415073316777125000953674316406250,1
24996.304742143349415073316777125000953674316406250,0
25033.03601387906559949669826892204582691192626953125,0
25998.026352946907024943357100710272789001464843750,1
25998.026352946907024943357100710272789001464843750,0
26019.736410383416522762445310945622622966766357421875,0
26281.059337914212392206536605954170227050781250000,1
26281.059337914212392206536605954170227050781250000,0
26330.26581468088777882030626642517745494842529296875,0
26345.356178791802904015639796853065490722656250000,1
26345.356178791802904015639796853065490722656250000,0
26441.5135926066856058014309382997453212738037109375,0
28333.506821344424452036037109792232513427734375000,1
28333.506821344424452036037109792232513427734375000,0
28429.274635419543898251504288055002689361572265625,1
28429.274635419543898251504288055002689361572265625,0
28448.0883495675339958097538328729569911956787109375,0
28452.523495163775180571974487975239753723144531250,0
29026.547579262737514227410429157316684722900390625,1
29026.547579262737514227410429157316684722900390625,0
29120.8245052781960708898623124696314334869384765625,0
30210.588601666674691159641952253878116607666015625,1
30210.588601666674691159641952253878116607666015625,0
30253.23955198096836483045990462414920330047607421875,0
31772.327324333560596869574510492384433746337890625,1
31772.327324333560596869574510492384433746337890625,0
31789.238484106775327830973765230737626552581787109375,0
32367.962801008589195816966821439564228057861328125,1
32367.962801008589195816966821439564228057861328125,0
32824.183898547396296407896443270146846771240234375,0
33228.816418055523882912893895991146564483642578125,1
33228.816418055523882912893895991146564483642578125,0
33302.8313226955961994235622114501893520355224609375,0
33403.012303876469246688429848290979862213134765625,1
33403.012303876469246688429848290979862213134765625,0
33482.303507885176514946579118259251117706298828125,0
36243.080890314179811184658319689333438873291015625,1
36243.080890314179811184658319689333438873291015625,0
36331.2287899146810303818710963241755962371826171875,0
36457.421108824770584533325745724141597747802734375,1
36457.421108824770584533325745724141597747802734375,0
36573.973131296558705116694909520447254180908203125,1
36573.973131296558705116694909520447254180908203125,0
36580.1817409596132026905479506240226328372955322265625,0
36736.152070347935222116575459949672222137451171875,0
36839.536455163235387999520753510296344757080078125,1
36839.536455163235387999520753510296344757080078125,0
36889.78816925707675267176455236040055751800537109375,1
36889.78816925707675267176455236040055751800537109375,0
36947.82340647486315532432854524813592433929443359375,0
37257.408612983574784038864891044795513153076171875,0
