Person,Timestamp,Queuelength
1,0.0,1
2,1310.733765625896,1
3,3617.2889929753487,1
4,3660.218636189018,1
5,4411.093887073586,1
6,4601.79336413848,1
7,4674.536174560362,1
8,6990.540274673023,1
9,7081.790219783082,1
10,8427.349264198609,1
11,8635.911637259815,1
12,9293.510143691155,1
13,10877.880384010423,1
14,11185.642791523234,1
15,11522.833840007987,1
16,12252.897957561601,1
17,12796.530496101275,1
18,14711.500918748694,1
19,16135.130183064819,1
20,17557.961675401588,1
21,18337.73243487861,1
22,19729.902521432843,1
23,20627.721156266434,1
24,21429.965943238647,1
25,22388.91247133468,1
26,22921.934605581566,1
27,23121.214622650434,1
28,23635.451080703388,1
29,24511.40039609227,1
30,28194.01129919027,1
31,29199.13311388734,1
32,29858.000193529428,1
33,31183.718272454327,1
34,32531.898369857183,1
35,34342.16268213911,1
36,35328.22370015112,1
37,36739.83702314504,1
38,39653.76133135986,1
39,41037.23742445611,1
40,41460.687671074375,1
41,41843.157041540624,1
42,43150.77596006298,1
43,43308.261633031274,1
44,43860.33631242798,1
45,44299.35492214455,1
46,45074.9570816554,1
47,45630.43743971766,1
48,46388.42985881871,1
49,47577.41981445897,1
50,48586.5543572404,1
51,48795.48627081055,1
52,49406.29891504434,1
53,50624.978277602546,1
54,51943.66953275534,1
55,52003.499695686165,1
56,52415.524939616385,1
57,56096.50656000507,1
58,56736.29417011438,1
59,57462.90861677096,1
60,58663.41446467245,1
61,59848.05614579129,1
62,61217.336548888816,1
63,62837.598585498636,1
64,64469.732745272515,1
65,64768.651376737886,1
66,64867.27377746841,1
67,65420.91113779214,1
68,67066.8833667046,1
69,68116.69022355774,1
70,68268.90934231928,1
71,68293.76842432044,1
72,69058.0746115374,1
73,69478.74213286377,1
74,70457.71182866048,1
75,72331.33525297456,1
76,72491.53593544109,1
77,72695.73528318024,1
78,73695.23824453936,1
79,75122.31962215704,1
80,75193.3846372289,1
81,75829.0432041503,1
82,76774.1883483495,1
83,77823.44842604302,1
84,79145.01085761875,1
85,81664.10663778851,1
86,82997.25152163787,1
87,83237.84021704394,1
88,83296.84041517158,1
89,84149.24293812837,1
90,85948.40851112816,1
91,86140.20563903975,1
92,86488.50171321904,1
93,86783.9339308096,1
94,87467.21218492834,1
95,88095.16845716063,1
96,88653.66485918335,1
97,93139.95005991521,1
98,94916.5891809733,1
99,94972.71894032187,1
100,95013.78221951102,1
101,95354.20536923531,1
102,96482.8530616744,1
103,96516.35753924673,1
104,97476.20438958453,1
105,97547.7088399831,1
106,99170.9910379857,1
107,99898.8525740325,1
108,100742.40202554458,1
