id,resident,time
1,false,156.96154999954052300381590612232685089111328125
2,false,1751.899810279715353544816025532782077789306640625
3,false,2181.7642794899518463580534444190561771392822265625
4,true,5787.60664715397836488364191609434783458709716796875
5,false,6586.54034398972341790567952557466924190521240234375
6,false,9891.1364917465880353120155632495880126953125000
7,false,10250.72372703515096503679160377942025661468505859375
8,false,12276.971426009240389021215378306806087493896484375
9,false,14035.572577076504359183672931976616382598876953125
10,false,14559.036862202329388082944205962121486663818359375
11,false,14877.54276621952212877886267961002886295318603515625
12,false,16032.4668734316156104569017770700156688690185546875
13,false,16511.6683762665882913012183053069747984409332275390625
14,false,16975.07248611824445561069296672940254211425781250
15,false,18966.483905271691611460482818074524402618408203125
16,false,19564.4107934459469930743580334819853305816650390625
17,false,21710.9807277891635095556921442039310932159423828125
18,false,25324.62382685675788707158062607049942016601562500
19,false,25714.74184024929303404860547743737697601318359375
20,false,27634.2940285974972738358701462857425212860107421875
21,false,27940.48640833561012186692096292972564697265625000
22,false,28174.809828246175271715401322580873966217041015625
23,false,29070.5988368263922581036240444518625736236572265625
24,true,29085.932937714069835610786185498000122606754302978515625
25,false,29792.6274178779274990347403218038380146026611328125
26,false,30779.242859498563802844728343188762664794921875000
27,false,32926.7928924784004269810111509286798536777496337890625
28,false,34651.7546336834694926665179082192480564117431640625
29,false,35640.072732408571514639561428339220583438873291015625
30,false,36002.213957435316476374254079928505234420299530029296875
31,false,36415.89443495297158026602346581057645380496978759765625
32,false,37296.03783343394423610561716486699879169464111328125
33,false,38503.6425689847290474432384144165553152561187744140625
34,true,38919.4948230580441919101986059104092419147491455078125
35,false,40485.4992123683948630485929243150167167186737060546875
36,false,46633.125382711802685786750544139067642390727996826171875
37,false,47310.391867860689700364673626609146595001220703125
38,false,47749.2543247963270829359316849149763584136962890625
39,false,48058.7434125415738179754043812863528728485107421875
40,false,49226.5629182115074371495211380533874034881591796875
41,false,50468.989130628313262150186346843838691711425781250
42,false,51406.585117502793583543763134002801962196826934814453125
43,false,52502.167201168663211774401133880019187927246093750
44,false,52579.3710009312607525089333648793399333953857421875
45,false,52904.8145929077487465974627411924302577972412109375
46,false,54596.1257896846108366162297897972166538238525390625
47,false,54654.3057748770133201787757570855319499969482421875
48,false,56837.5180017473162905616845819167792797088623046875
49,false,56850.76208124001917809664519154466688632965087890625
50,false,57549.212355061746320128435172591707669198513031005859375
51,false,60524.52507490681013546662825319799594581127166748046875
52,false,62803.2494304030717058306976241510710678994655609130859375
53,false,63987.60222222526132451747571394662372767925262451171875
54,false,64038.44240629643038698048940204898826777935028076171875
55,false,64438.07449104306987930357308869133703410625457763671875
56,false,68114.99133706807103560976202061283402144908905029296875
57,false,68438.61383286234603939846010689507238566875457763671875
58,false,68668.6219911686044781173876572211156599223613739013671875
59,false,68959.97881132481023325198066231678240001201629638671875
60,true,69462.96783777707759011121879666461609303951263427734375
61,false,70530.24783876074766464370213725487701594829559326171875
62,false,70957.83855730262211647385584001312963664531707763671875
63,false,72291.26334572958827617839006052236072719097137451171875
64,true,72758.26124856179412869749967285315506160259246826171875
65,false,75620.26255744644665313103359949309378862380981445312500
66,false,76564.32032306105934704731907913810573518276214599609375
67,false,76667.71653831585356453359736406127922236919403076171875
68,false,78096.13225914130951377245537514681927859783172607421875
69,true,78828.43478475041259567746010361588560044765472412109375
70,false,82533.69076015753877850755770850810222327709197998046875
71,false,83250.36647847109473286053571428055875003337860107421875
72,false,84671.96016557250836154224771235021762549877166748046875
73,false,88587.88849442629401220727913823793642222881317138671875
74,false,90630.19302733803497584830211053485982120037078857421875
75,false,92614.00332916747907585630628091166727244853973388671875
76,false,94019.18212125466412043550690214033238589763641357421875
