time,size,room
0,1,1
0,0,1
156.96154999954052300381590612232685089111328125,0,0
1571.780535491967157213366590440273284912109375,1,1
1571.780535491967157213366590440273284912109375,0,1
1751.899810279715353544816025532782077789306640625,0,0
2101.6793275926000887920963577926158905029296875,1,1
2101.6793275926000887920963577926158905029296875,0,1
2181.7642794899518463580534444190561771392822265625,0,0
5753.7472048538378430748707614839076995849609375,1,1
5753.7472048538378430748707614839076995849609375,0,1
5787.60664715397836488364191609434783458709716796875,0,0
6526.6631874708458553868695162236690521240234375,1,1
6526.6631874708458553868695162236690521240234375,0,1
6586.54034398972341790567952557466924190521240234375,0,0
9489.6745721765468033481738530099391937255859375,1,1
9489.6745721765468033481738530099391937255859375,0,1
9891.1364917465880353120155632495880126953125000,0,0
10215.0065156019413734611589461565017700195312500,1,1
10215.0065156019413734611589461565017700195312500,0,1
10250.72372703515096503679160377942025661468505859375,0,0
12189.9293348396893179597100242972373962402343750,1,1
12189.9293348396893179597100242972373962402343750,0,1
12276.971426009240389021215378306806087493896484375,0,0
14002.8197599962657022842904552817344665527343750,1,1
14002.8197599962657022842904552817344665527343750,0,1
14035.572577076504359183672931976616382598876953125,0,0
14523.9748060909985269972821697592735290527343750,1,1
14523.9748060909985269972821697592735290527343750,0,1
14559.036862202329388082944205962121486663818359375,0,0
14859.23155821685799082843004725873470306396484375,1,1
14859.23155821685799082843004725873470306396484375,0,1
14877.54276621952212877886267961002886295318603515625,0,0
15973.16599705672132358813541941344738006591796875,1,1
15973.16599705672132358813541941344738006591796875,0,1
16032.4668734316156104569017770700156688690185546875,0,0
16504.98880117568518244297592900693416595458984375,1,1
16504.98880117568518244297592900693416595458984375,0,1
16511.6683762665882913012183053069747984409332275390625,0,0
16952.33425647615024445258313789963722229003906250,1,1
16952.33425647615024445258313789963722229003906250,0,1
16975.07248611824445561069296672940254211425781250,0,0
18887.16728367008033728779992088675498962402343750,1,1
18887.16728367008033728779992088675498962402343750,0,1
18966.483905271691611460482818074524402618408203125,0,0
19505.02492260102758336870465427637100219726562500,1,1
19505.02492260102758336870465427637100219726562500,0,1
19564.4107934459469930743580334819853305816650390625,0,0
21688.30401316471829886722844094038009643554687500,1,1
21688.30401316471829886722844094038009643554687500,0,1
21710.9807277891635095556921442039310932159423828125,0,0
24824.48934558972064223780762404203414916992187500,1,1
24824.48934558972064223780762404203414916992187500,0,1
25324.62382685675788707158062607049942016601562500,0,0
25566.07189056101606183801777660846710205078125000,1,1
25566.07189056101606183801777660846710205078125000,0,1
25714.74184024929303404860547743737697601318359375,0,0
27560.05909467815490643261000514030456542968750000,1,1
27560.05909467815490643261000514030456542968750000,0,1
27634.2940285974972738358701462857425212860107421875,0,0
27845.58721678316959469157154671847820281982421875,1,1
27845.58721678316959469157154671847820281982421875,0,1
27940.48640833561012186692096292972564697265625000,0,0
28029.69625869962533215584699064493179321289062500,1,1
28029.69625869962533215584699064493179321289062500,0,1
28174.809828246175271715401322580873966217041015625,0,0
28973.32297306289933658263180404901504516601562500,1,1
28973.32297306289933658263180404901504516601562500,0,1
29070.5988368263922581036240444518625736236572265625,0,0
29082.367660293945647254076902754604816436767578125,1,1
29082.367660293945647254076902754604816436767578125,0,1
29085.932937714069835610786185498000122606754302978515625,0,0
29736.179304160090651976133813150227069854736328125,1,1
29736.179304160090651976133813150227069854736328125,0,1
29792.6274178779274990347403218038380146026611328125,0,0
30543.243090856197937910110340453684329986572265625,1,1
30543.243090856197937910110340453684329986572265625,0,1
30779.242859498563802844728343188762664794921875000,0,0
32914.147135013220719201854080893099308013916015625,1,1
32914.147135013220719201854080893099308013916015625,0,1
32926.7928924784004269810111509286798536777496337890625,0,0
34634.038684295579429317513131536543369293212890625,1,1
34634.038684295579429317513131536543369293212890625,0,1
34651.7546336834694926665179082192480564117431640625,0,0
35616.038691155555085288142436183989048004150390625,1,1
35616.038691155555085288142436183989048004150390625,0,1
